idx,phy_ul_n_samples,phy_dl_n_samples,mac_dl_buffer,mac_dl_brate,mac_ul_brate,mac_dl_ok,mac_dl_nok,mac_ul_ok,mac_ul_nok,timestamp,label_encoded
417,32,3,0,147780,170989,3,0,13,0,16668594,0
418,32,5,0,117688,250844,2,0,13,0,16668594,0
419,17,5,0,83111,133777,1,0,5,1,16668594,0
420,24,4,0,250966,165213,4,0,6,4,16668594,0
421,18,5,0,82197,133186,1,0,7,0,16668594,0
422,8,3,0,116266,130311,2,0,4,0,16668594,0
423,12,4,0,33528,167370,1,0,6,0,16668594,0
424,8,2,0,114989,126417,2,0,4,0,16668594,0
425,15,8,0,199377,160622,3,0,7,0,16668594,0
426,13,2,0,33155,250933,1,0,5,0,16668594,0
427,17,4,0,116266,152622,2,0,7,0,16668594,0
428,30,12,0,232533,404177,4,0,13,0,16668594,0
429,15,8,0,163644,219377,3,0,6,0,16668594,0
430,8,3,0,83111,56000,1,0,4,0,16668594,0
431,21,4,0,117688,166400,2,0,8,0,16668594,0
432,31,4,0,116266,211288,2,0,7,4,16668594,0
433,10,2,0,33155,127822,1,0,4,0,16668594,0
434,6,2,0,83111,5511,1,0,2,0,16668594,0
435,7,5,0,161777,224977,2,0,3,0,16668594,0
436,17,3,0,110133,227288,1,0,4,3,16668594,0
437,34,6,0,150844,266222,3,0,11,2,16668594,0
438,6,2,0,83111,52355,1,0,3,0,16668594,0
439,62,13,0,245333,311555,4,0,24,1,16668594,0
440,6,3,0,130488,25066,2,0,2,1,16668594,0
441,41,9,0,213600,236533,3,0,16,0,16668594,0
442,17,3,0,63733,162133,1,0,5,2,16668594,0
443,68,10,0,232266,335200,3,1,23,4,16668594,0
444,41,5,0,116266,231555,2,0,15,1,16668594,0
445,44,6,0,116266,238933,2,0,18,0,16668594,0
446,45,5,0,116266,228800,2,0,18,0,16668594,0
447,25,3,0,83111,118488,1,0,10,0,16668594,0
448,25,2,0,33155,110311,1,0,10,0,16668594,0
449,46,10,0,232533,315111,4,0,19,0,16668594,0
450,23,3,0,117688,80088,2,0,3,8,16668594,0
451,19,3,0,127644,95911,2,0,7,0,16668594,0
452,60,10,0,117688,454133,2,1,20,5,16668594,0
453,34,8,0,245333,245244,4,0,13,1,16668594,0
454,101,16,0,350133,549866,7,1,41,0,16668594,0
455,20,3,0,83111,95822,1,0,8,0,16668594,0
456,61,7,0,149422,347911,3,0,25,0,16668594,0
457,23,3,0,163644,164444,3,0,9,0,16668594,0
458,21,7,0,199377,266844,3,0,9,0,16668594,0
459,11,2,0,33155,204888,1,0,5,0,16668594,0
460,6,3,0,83111,8355,1,0,2,0,16668594,0
461,10,3,0,114400,182400,1,0,4,0,16668594,0
462,12,6,0,114400,248355,1,0,6,0,16668594,0
463,17,5,0,150844,212177,3,0,7,0,16668594,0
464,17,5,0,117688,131644,2,0,5,2,16668594,0
465,28,5,0,116266,134044,2,0,8,3,16668594,0
466,23,2,0,83111,65066,1,0,5,3,16668594,0
467,6,6,0,33155,110844,1,0,3,0,16668594,0
468,16,8,0,213600,211822,3,0,7,0,16668594,0
469,12,0,0,34577,0,1,0,0,4,16668594,0
470,12,2,0,85955,91644,1,0,5,0,16668594,0
471,8,5,0,157511,147288,2,0,3,2,16668594,0
472,15,5,0,147555,381155,2,0,6,0,16668594,0
473,2,2,0,47377,47377,1,0,1,0,16668594,0
474,26,8,0,165066,104266,3,0,5,4,16668594,0
475,0,0,0,83111,0,1,0,0,0,16668594,0
476,85,12,0,233955,449333,4,0,34,0,16668594,0
477,41,6,0,33155,289422,1,0,16,2,16668594,0
478,8,2,0,116266,126400,2,0,4,0,16668594,0
479,26,5,0,204177,152000,2,0,6,4,16668594,0
480,11,4,0,179595,58426,2,0,4,0,16668594,0
481,7,6,0,197511,138933,2,0,3,0,16668594,0
482,16,10,0,258133,177511,4,0,7,0,16668594,0
483,18,5,0,116266,176622,2,0,7,0,16668594,0
484,11,5,0,80533,112177,2,0,4,0,16668594,0
