model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
cnn-cu,CU,41800,293.034,335.495,356.269,142645.53,0.958541,0.958802,0.954152,0.963497
cnn-cu,CU,41900,290.753,330.12,342.848,144108.66,0.95852,0.958762,0.954099,0.963472
cnn-cu,CU,42000,297.478,350.596,367.417,141187.04,0.9585,0.958735,0.954104,0.963411
cnn-cu,CU,42100,298.142,344.625,375.642,141208.08,0.958432,0.958691,0.954052,0.963376
cnn-cu,CU,42200,300.534,334.729,371.218,140416.66,0.958412,0.95867,0.953975,0.963412
cnn-cu,CU,42300,305.718,357.796,365.809,138363.03,0.958392,0.958647,0.953984,0.963355
cnn-cu,CU,42400,297.208,343.698,367.627,142661.18,0.958443,0.958681,0.954072,0.963335
cnn-cu,CU,42500,294.987,326.285,342.881,144074.2,0.958424,0.958658,0.954082,0.963278
cnn-cu,CU,42600,295.562,332.141,353.467,144132.29,0.958427,0.958677,0.954201,0.963194
cnn-cu,CU,42700,292.405,316.17,329.849,146030.19,0.958478,0.958711,0.954244,0.963219
cnn-cu,CU,42800,295.113,323.968,339.199,145029.1,0.958481,0.95871,0.954209,0.963253
cnn-cu,CU,42900,297.564,328.249,341.705,144170.72,0.958462,0.958689,0.954176,0.963244
cnn-cu,CU,43000,302.175,349.238,366.711,142301.85,0.958419,0.958644,0.954185,0.963144
cnn-cu,CU,43100,299.232,328.259,350.759,144035.25,0.958445,0.95865,0.954222,0.963119
cnn-cu,CU,43200,297.351,315.283,341.269,145282.64,0.958472,0.958664,0.954266,0.963102
cnn-cu,CU,43300,299.981,332.493,340.907,144342.3,0.958499,0.958698,0.95429,0.963148
cnn-cu,CU,43400,301.623,330.985,343.57,143888.17,0.958479,0.9587,0.954326,0.963115
cnn-cu,CU,43500,301.797,329.207,360.692,144136.49,0.958506,0.958719,0.954376,0.963103
cnn-cu,CU,43600,304.727,340.957,363.308,143079.12,0.958463,0.95868,0.954391,0.963009
cnn-cu,CU,43700,306.382,331.062,378.558,142632.52,0.95849,0.958711,0.954409,0.963051
cnn-cu,CU,43800,304.743,336.742,366.22,143727.58,0.958539,0.958757,0.954422,0.963132
cnn-cu,CU,43900,306.862,339.881,374.339,143061.27,0.958519,0.958746,0.9544,0.963132
cnn-cu,CU,44000,305.094,320.551,385.484,144217.62,0.958545,0.958774,0.95446,0.963128
cnn-cu,CU,44100,306.122,340.396,352.885,144060.44,0.958571,0.958791,0.954464,0.963158
cnn-cu,CU,44200,306.842,336.016,368.356,144048.24,0.958575,0.958794,0.954476,0.963151
cnn-cu,CU,44300,305.188,327.998,362.583,145156.43,0.958623,0.958854,0.95459,0.963157
cnn-cu,CU,44400,312.254,366.556,386.021,142191.71,0.958604,0.958824,0.954547,0.96314
cnn-cu,CU,44500,310.306,348.491,374.426,143406.99,0.958584,0.958796,0.95455,0.963081
cnn-cu,CU,44600,306.57,322.723,359.866,145480.86,0.958543,0.958756,0.954562,0.962988
cnn-cu,CU,44700,311.613,365.04,383.427,143447.24,0.958568,0.958782,0.954618,0.962983
cnn-cu,CU,44800,313.592,356.531,396.413,142860.65,0.958594,0.958802,0.954668,0.962973
cnn-cu,CU,44900,311.673,341.081,358.205,144061.33,0.958597,0.958792,0.954666,0.962955
cnn-cu,CU,45000,314.475,361.363,387.858,143095.44,0.958622,0.958825,0.95473,0.962956
cnn-cu,CU,45100,311.859,350.293,372.81,144616.66,0.958647,0.958845,0.954737,0.962989
cnn-cu,CU,45200,316.249,377.687,379.815,142925.56,0.958562,0.958756,0.954615,0.962933
cnn-cu,CU,45300,315.825,357.31,369.864,143433.98,0.958565,0.958768,0.954637,0.962935
cnn-cu,CU,45400,317.213,372.336,386.541,143121.48,0.958568,0.958774,0.954611,0.962974
cnn-cu,CU,45500,315.03,362.059,382.289,144430.63,0.958505,0.958703,0.954444,0.963
cnn-cu,CU,45600,324.525,384.007,396.095,140512.9,0.958421,0.958617,0.954326,0.962947
cnn-cu,CU,45700,318.694,361.893,377.606,143397.82,0.958425,0.95862,0.954338,0.96294
cnn-cu,CU,45800,324.468,373.764,393.523,141154.34,0.958406,0.958595,0.95426,0.962969
cnn-cu,CU,45900,322.687,379.195,389.291,142242.98,0.95841,0.958593,0.954226,0.963
cnn-cu,CU,46000,323.017,372.105,381.421,142407.19,0.958457,0.958628,0.954228,0.963069
cnn-cu,CU,46100,324.846,369.967,392.158,141913.27,0.958438,0.958602,0.954231,0.963013
cnn-cu,CU,46200,323.882,367.654,388.458,142644.39,0.958463,0.958607,0.954264,0.96299
cnn-cu,CU,46300,326.92,382.967,397.107,141625.01,0.958359,0.958506,0.954111,0.962941
cnn-cu,CU,46400,326.726,382.529,391.1,142015.11,0.958319,0.958473,0.95413,0.962856
cnn-cu,CU,46500,331.011,378.456,403.699,140478.86,0.958366,0.958519,0.954226,0.962851
cnn-cu,CU,46600,314.031,370.867,390.505,148392.98,0.958412,0.958551,0.954224,0.962917
cnn-cu,CU,46700,325.535,380.741,395.052,143456.26,0.958458,0.958598,0.954321,0.962914
cnn-cu,CU,46800,333.179,386.244,400.011,140465.24,0.958376,0.958518,0.954251,0.962824
cnn-cu,CU,46900,337.577,387.633,430.526,138931.29,0.958422,0.958569,0.95427,0.962906
cnn-cu,CU,47000,334.257,387.58,396.482,140610.39,0.958468,0.958621,0.954292,0.96299
cnn-cu,CU,47100,338.46,386.828,414.063,139159.59,0.958471,0.958629,0.95435,0.962947
cnn-cu,CU,47200,329.632,369.345,402.509,143189.87,0.958453,0.958617,0.954408,0.962864
