model,dataset,instances,mean_ms,p95_ms,p99_ms,throughput_inst_per_s,acc,f1,precision,recall
lstm-du,DU,5100,78.942,85.539,86.54,64604.4,0.995294,0.995413,0.996937,0.993893
lstm-du,DU,5200,79.038,84.94,86.216,65790.76,0.995385,0.995501,0.996996,0.99401
lstm-du,DU,5300,79.129,86.065,87.289,66978.93,0.995472,0.99557,0.997043,0.994102
lstm-du,DU,5400,77.714,85.388,85.785,69485.63,0.995556,0.995641,0.99709,0.994197
lstm-du,DU,5500,79.09,86.509,86.967,69541.41,0.995455,0.995537,0.996782,0.994294
lstm-du,DU,5600,76.263,86.337,86.739,73430.49,0.995357,0.995448,0.996844,0.994056
lstm-du,DU,5700,71.016,86.492,87.272,80263.29,0.995439,0.995526,0.996899,0.994158
lstm-du,DU,5800,68.796,87.115,88.244,84307.64,0.995517,0.995601,0.99695,0.994255
lstm-du,DU,5900,64.554,87.103,87.27,91396.21,0.995593,0.995671,0.996999,0.994347
lstm-du,DU,6000,61.214,87.274,87.865,98016.62,0.9955,0.995579,0.996721,0.994439
lstm-du,DU,6100,49.196,53.682,56.755,123994.38,0.995574,0.995649,0.996773,0.994527
lstm-du,DU,6200,49.127,51.942,54.471,126203.88,0.995645,0.995719,0.996825,0.994615
lstm-du,DU,6300,50.485,55.106,56.942,124789.98,0.995397,0.995472,0.996873,0.994075
lstm-du,DU,6400,50.189,52.526,55.319,127516.89,0.995469,0.995536,0.996917,0.994159
lstm-du,DU,6500,51.406,54.901,56.321,126444.5,0.995385,0.995456,0.996966,0.99395
lstm-du,DU,6600,52.919,57.123,59.44,124719.63,0.995303,0.995393,0.997023,0.993769
lstm-du,DU,6700,53.166,57.808,60.481,126020.24,0.995075,0.995178,0.99678,0.99358
lstm-du,DU,6800,55.142,59.516,62.174,123318.0,0.995147,0.995252,0.99683,0.99368
lstm-du,DU,6900,55.456,59.504,64.533,124423.46,0.995217,0.995314,0.996871,0.993762
lstm-du,DU,7000,56.129,60.381,62.668,124712.99,0.995286,0.995387,0.99692,0.993858
lstm-du,DU,7100,57.263,62.159,64.062,123989.33,0.995211,0.99531,0.99696,0.993666
lstm-du,DU,7200,58.035,61.603,63.634,124063.13,0.995139,0.99524,0.997003,0.993484
lstm-du,DU,7300,58.967,64.095,65.911,123798.48,0.995205,0.995293,0.997036,0.993555
lstm-du,DU,7400,59.5,63.594,72.569,124370.47,0.995135,0.995224,0.996811,0.993642
lstm-du,DU,7500,62.697,67.202,69.594,119622.63,0.9952,0.995272,0.996843,0.993706
lstm-du,DU,7600,62.756,67.121,70.575,121104.25,0.995263,0.995328,0.996881,0.993781
lstm-du,DU,7700,63.47,66.908,68.721,121316.73,0.995195,0.995256,0.996662,0.993854
lstm-du,DU,7800,65.963,72.474,74.209,118248.62,0.995256,0.995318,0.996706,0.993935
lstm-du,DU,7900,64.873,68.681,72.944,121775.67,0.995316,0.995377,0.996747,0.99401
lstm-du,DU,8000,67.353,72.428,74.465,118777.71,0.99525,0.995317,0.996545,0.994092
lstm-du,DU,8100,66.322,70.563,73.447,122130.51,0.995309,0.995377,0.99659,0.994168
lstm-du,DU,8200,64.577,68.635,71.367,126980.54,0.995122,0.995192,0.99639,0.993998
lstm-du,DU,8300,68.643,73.859,77.314,120915.09,0.99506,0.995135,0.996435,0.993837
lstm-du,DU,8400,68.926,73.647,76.284,121870.54,0.995119,0.995186,0.996473,0.993902
lstm-du,DU,8500,70.041,76.705,78.729,121358.17,0.995176,0.99525,0.99652,0.993983
lstm-du,DU,8600,70.469,75.09,78.315,122039.79,0.995116,0.995197,0.996564,0.993833
lstm-du,DU,8700,71.142,75.821,77.745,122290.22,0.995057,0.995148,0.99661,0.993691
lstm-du,DU,8800,71.115,75.956,79.584,123743.31,0.994886,0.99498,0.996648,0.993318
lstm-du,DU,8900,73.172,78.012,79.691,121631.75,0.994944,0.995047,0.996692,0.993407
lstm-du,DU,9000,73.793,79.104,81.974,121962.34,0.995,0.995101,0.996728,0.993478
lstm-du,DU,9100,75.495,80.796,83.292,120537.12,0.994945,0.995056,0.99677,0.993348
lstm-du,DU,9200,74.283,78.883,79.568,123849.94,0.994891,0.995014,0.996812,0.993223
lstm-du,DU,9300,74.289,79.796,81.258,125187.22,0.994839,0.994966,0.996848,0.993092
lstm-du,DU,9400,77.264,82.764,87.895,121660.94,0.994894,0.995012,0.996877,0.993155
lstm-du,DU,9500,77.113,81.49,87.295,123195.53,0.994842,0.994959,0.996702,0.993222
lstm-du,DU,9600,77.326,82.332,84.791,124150.07,0.994792,0.994907,0.996531,0.993289
lstm-du,DU,9700,77.797,82.507,89.834,124683.43,0.994742,0.99485,0.996561,0.993145
lstm-du,DU,9800,79.746,84.966,87.483,122889.43,0.994796,0.994904,0.996597,0.993216
lstm-du,DU,9900,80.272,86.878,88.012,123330.9,0.994848,0.994959,0.996634,0.99329
