dlBytes,dlMcs,dlBler,ulBytes,ulMcs,ulBler,ri,phr,pcmax,rsrq,sinr,rsrp,rssi,cqi,pucchSnr,puschSnr,ue_id,timestamp,cellid,in_sync,idx
0.003641537,0.481481481,0,0.008819905,0.45,0.019514,0,0.45,0.981481481,0.976744186,0.661764706,0.727272727,0.406060606,1,0.441860465,0.755813953,0,0.114098107,0,0,6984
0.003644913,0.481481481,0,0.008836504,0.6,0.062938,0,0.45,0.981481481,0.976744186,0.661764706,0.727272727,0.390909091,1,0.465116279,0.430232558,0,0.114098325,0,0,6985
0.003646927,0.555555556,0,0.008843192,0.55,0.052668,0,0.475,0.981481481,0.976744186,0.661764706,0.727272727,0.390909091,1,0.418604651,0.418604651,0,0.114098544,0,0,6986
0.003647837,0.444444444,0,0.008843893,0.55,0.042779,0,0.45,0.981481481,0.976744186,0.661764706,0.727272727,0.390909091,1,0.465116279,0.418604651,0,0.114098762,0,0,6987
0.003648351,0.37037037,0,0.008844539,0.45,0.028145,0,0.5,0.981481481,0.976744186,0.661764706,0.727272727,0.46969697,1,0.441860465,0.360465116,0,0.114098981,0,0,6988
0.00364953,0.37037037,0,0.008853109,0.5,0.022768,0,0.475,0.981481481,0.976744186,0.632352941,0.727272727,0.390909091,1,0.418604651,0.76744186,0,0.114099199,0,0,6989
0.003652262,0.37037037,0,0.008869178,0.45,0.060554,0,0.45,0.981481481,0.976744186,0.647058824,0.727272727,0.390909091,1,0.418604651,0.441860465,0,0.114099418,0,0,6990
0.003652724,0.333333333,0,0.008869842,0.45,0.026066,0,0.45,0.981481481,0.976744186,0.632352941,0.727272727,0.390909091,1,0.418604651,0.418604651,0,0.114099636,0,0,6991
0.003653151,0.333333333,0,0.008870512,0.45,0.010099,0,0.475,0.981481481,0.976744186,0.632352941,0.727272727,0.424242424,1,0.441860465,0.395348837,0,0.114099855,0,0,6992
0.003654758,0.37037037,0,0.008878691,0.5,0.022998,0,0.425,0.981481481,0.976744186,0.632352941,0.727272727,0.363636364,1,0.418604651,0.418604651,0,0.114100074,0,0,6993
0.003656624,0.444444444,0,0.008889019,0.55,0.008019,0,0.425,0.981481481,0.976744186,0.632352941,0.727272727,0.375757576,1,0.441860465,0.453488372,0,0.114100292,0,0,6994
0.003658757,0.407407407,0,0.008896236,0.75,0.00436,0,0.45,0.981481481,0.976744186,0.647058824,0.727272727,0.445454545,1,0.418604651,0.395348837,0,0.114100511,0,0,6995
0.003660246,0.407407407,0,0.008903356,0.7,0.024622,0,0.4,0.981481481,0.976744186,0.632352941,0.727272727,0.324242424,1,0.418604651,0.476744186,0,0.114100729,0,0,6996
0.003661002,0.37037037,0,0.00890404,0.6,0.020724,0,0.425,0.981481481,0.976744186,0.632352941,0.727272727,0.363636364,1,0.418604651,0.453488372,0,0.114100948,0,0,6997
0.003661946,0.333333333,0,0.008904972,0.45,0.008029,0,0.425,0.981481481,0.976744186,0.647058824,0.727272727,0.375757576,1,0.418604651,0.418604651,0,0.114101166,0,0,6998
0.003663295,0.407407407,0,0.008913437,0.55,0.003111,0,0.425,0.981481481,0.976744186,0.647058824,0.727272727,0.363636364,1,0.395348837,0.430232558,0,0.114101385,0,0,6999
0.003666037,0.481481481,0,0.008929376,0.7,0.013194,0,0.425,0.981481481,0.976744186,0.647058824,0.727272727,0.390909091,1,0.418604651,0.406976744,0,0.114101603,0,0,7000
0.003666729,0.407407407,0,0.008930102,0.65,0.013994,0,0.45,0.981481481,0.976744186,0.647058824,0.727272727,0.424242424,1,0.395348837,0.406976744,0,0.114101822,0,0,7001
0.003667276,0.444444444,0,0.008930797,0.45,0.014031,0,0.45,0.981481481,0.976744186,0.647058824,0.727272727,0.424242424,1,0.348837209,0.744186047,0,0.11410204,0,0,7002
0.003669362,0.444444444,0,0.008939389,0.55,0.012077,0,0.4,0.981481481,0.976744186,0.661764706,0.727272727,0.424242424,1,0.441860465,0.418604651,0,0.114102259,0,0,7003
0.003671131,0.518518519,0,0.008949398,0.55,0.01226,0,0.475,0.981481481,0.976744186,0.676470588,0.727272727,0.424242424,1,0.418604651,0.395348837,0,0.114102477,0,0,7004
0.003673193,0.481481481,0,0.008956312,0.75,0.057416,0,0.425,0.981481481,0.976744186,0.661764706,0.757575758,0.406060606,1,0.395348837,0.406976744,0,0.114102696,0,0,7005
0.003674714,0.481481481,0,0.008963706,0.45,0.063686,0,0.425,0.981481481,0.976744186,0.632352941,0.757575758,0.406060606,1,0.418604651,0.755813953,0,0.114102915,0,0,7006
0.003675275,0.333333333,0,0.008964325,0.45,0.024673,0,0.45,0.981481481,0.976744186,0.647058824,0.757575758,0.445454545,1,0.418604651,0.73255814,0,0.114103133,0,0,7007
0.00367571,0.333333333,0,0.008965002,0.45,0.016733,0,0.4,0.981481481,0.976744186,0.617647059,0.757575758,0.406060606,1,0.465116279,0.430232558,0,0.114103352,0,0,7008
0.003677298,0.37037037,0,0.008973535,0.5,0.018747,0,0.35,0.981481481,0.976744186,0.632352941,0.757575758,0.363636364,1,0.395348837,0.441860465,0,0.11410357,0,0,7009
0.003679699,0.481481481,0,0.00898354,0,0.054475,0,0.35,0.981481481,0.976744186,0.661764706,0.757575758,0.406060606,1,0.441860465,0.406976744,0,0.114103789,0,0,7010
0.003683234,0.62962963,0,0.008994089,0.4,0.033562,0,0.4,0.981481481,0.976744186,0.676470588,0.757575758,0.390909091,1,0.395348837,0.418604651,0,0.114104007,0,0,7011
0.003685459,0.592592593,0,0.008998765,0.5,0.015146,0,0.375,0.981481481,0.976744186,0.676470588,0.757575758,0.445454545,1,0.488372093,0.73255814,0,0.114104226,0,0,7012
0.003686018,0.481481481,0,0.008999458,0.45,0.005868,0,0.35,0.981481481,0.976744186,0.661764706,0.727272727,0.363636364,1,0.488372093,0.453488372,0,0.114104444,0,0,7013
0.00368793,0.481481481,0,0.009008147,0.6,0.012874,0,0.375,0.981481481,0.976744186,0.661764706,0.757575758,0.406060606,1,0.441860465,0.406976744,0,0.114104663,0,0,7014
0.003690196,0.481481481,0,0.009018369,0.8,0.054454,0,0.375,0.981481481,0.976744186,0.661764706,0.757575758,0.424242424,1,0.395348837,0.418604651,0,0.114104881,0,0,7015
0.00369254,0.555555556,0,0.009025005,0.45,0.111452,0,0.375,0.981481481,0.976744186,0.676470588,0.727272727,0.406060606,1,0.418604651,0.418604651,0,0.1141051,0,0,7016
